Data,Open,High,Low,Price
2022-07-02,177.86,180.12,176.28,178.29
2022-07-03,178.17,197.84,183.17,195.79
2022-07-04,195.79,197.53,186.12,190.46
2022-07-05,190.46,203.11,194.07,200.87
2022-07-06,200.87,214.47,204.96,206.58
2022-07-07,206.58,205.81,196.2,201.8
2022-07-08,201.8,205.39,200.7,201.62
2022-07-09,201.62,196.78,190.59,194.35
2022-07-10,194.35,189.73,180.03,180.67
2022-07-11,180.67,183.37,176.29,178.51
2022-07-12,178.51,189.95,183.81,189.18
2022-07-13,189.18,202.93,190.5,202.26
2022-07-14,202.26,208.6,200.8,202.72
2022-07-15,202.98,225.74,202.57,214.85
2022-07-16,214.85,218.14,208.41,209.36
2022-07-17,209.4,238.38,224.47,237.53
2022-07-18,237.53,269.46,240.62,243.67
2022-07-19,243.67,248.33,228.71,230.75
2022-07-20,230.75,241.67,222.43,237.6
2022-07-21,237.6,236.6,222.19,224.32
2022-07-22,224.03,227.54,220.87,220.87
2022-07-23,220.84,228.18,220.21,225.31
2022-07-24,225.31,208.61,197.91,198.14
2022-07-25,198.14,199.89,190.27,196.0
2022-07-26,196.0,213.49,205.15,211.8
2022-07-27,211.8,227.92,211.65,222.95
2022-07-28,222.95,227.34,216.44,218.42
2022-07-29,218.42,234.41,215.55,228.74
2022-07-30,228.42,229.16,220.83,221.27
2022-07-31,221.34,223.06,214.58,217.25
2022-08-01,217.25,222.03,210.36,210.97
2022-08-02,210.21,211.28,201.4,204.83
2022-08-03,204.6,204.53,199.43,203.35
2022-08-04,203.35,213.01,206.72,211.07
2022-08-05,210.69,209.25,203.89,208.1
2022-08-06,208.1,213.05,207.66,210.93
2022-08-07,210.51,221.66,213.83,216.89
2022-08-08,216.89,213.38,206.94,207.78
2022-08-09,207.78,217.41,210.19,216.55
2022-08-10,216.55,225.6,215.46,220.78
2022-08-11,220.78,231.56,220.63,231.31
2022-08-12,231.27,245.98,234.54,237.58
2022-08-13,238.14,241.39,228.35,229.1
2022-08-14,229.1,232.51,221.54,224.01
2022-08-15,224.01,226.22,219.7,222.41
2022-08-16,222.41,222.66,208.73,209.94
2022-08-17,209.94,213.43,205.34,206.07
2022-08-18,206.07,190.05,177.23,186.25
2022-08-19,186.61,186.9,181.06,184.19
2022-08-20,183.98,192.4,184.31,190.6
2022-08-21,190.6,188.71,178.28,183.72
2022-08-22,183.72,184.61,180.41,183.17
2022-08-23,183.17,183.76,177.83,179.15
2022-08-24,179.15,186.03,180.82,181.37
2022-08-25,181.37,169.05,160.68,161.51
2022-08-26,161.85,163.37,159.95,161.01
2022-08-27,161.01,157.04,153.46,155.51
2022-08-28,155.51,167.59,160.83,164.21
2022-08-29,164.01,164.39,159.3,161.34
2022-08-30,161.34,167.05,161.87,162.8
2022-08-31,162.8,166.51,162.5,165.77
2022-09-01,165.77,164.98,160.83,162.8
2022-09-02,162.8,162.33,160.58,161.82
2022-09-03,161.76,167.61,163.83,167.03
2022-09-04,167.41,167.3,162.79,166.48
2022-09-05,166.48,168.48,160.67,162.15
2022-09-06,162.15,172.51,164.81,171.6
2022-09-07,171.6,176.58,169.21,175.57
2022-09-08,175.57,195.81,178.58,179.24
2022-09-09,179.24,183.86,180.27,181.62
2022-09-10,181.25,185.07,178.13,180.96
2022-09-11,180.93,196.59,181.73,191.1
2022-09-12,191.1,183.84,171.87,171.97
2022-09-13,171.97,178.17,171.13,177.64
2022-09-14,177.12,174.76,159.64,174.14
2022-09-15,173.73,175.57,169.31,170.14
2022-09-16,169.87,179.02,173.76,177.39
2022-09-17,177.39,167.17,161.74,164.42
2022-09-18,164.18,173.06,162.68,170.41
2022-09-19,170.41,165.59,162.26,162.85
2022-09-20,162.85,163.75,157.11,159.9
2022-09-21,159.9,169.62,165.43,166.63
2022-09-22,166.63,179.4,167.6,176.48
2022-09-23,176.13,180.33,171.72,174.61
2022-09-24,174.61,173.43,168.7,168.9
2022-09-25,169.14,180.46,174.32,180.25
2022-09-26,180.25,181.55,173.28,174.61
2022-09-27,174.61,180.09,174.99,177.59
2022-09-28,177.59,186.77,178.77,183.3
2022-09-29,183.3,185.17,177.21,179.52
2022-09-30,179.08,176.62,174.01,174.64
2022-10-01,174.64,173.2,170.1,172.85
2022-10-02,172.79,174.13,170.56,170.77
2022-10-03,170.77,181.62,176.96,177.49
2022-10-04,177.49,178.61,175.13,177.98
2022-10-05,177.98,178.24,175.3,175.51
2022-10-06,175.51,173.74,169.65,172.72
2022-10-07,172.72,172.16,170.13,170.54
2022-10-08,170.54,172.85,170.51,172.34
2022-10-09,172.34,170.79,166.29,166.49
2022-10-10,166.49,168.14,161.88,163.09
2022-10-11,163.09,166.35,163.31,164.93
2022-10-12,164.93,166.5,155.07,161.09
2022-10-13,161.09,164.91,158.77,159.9
2022-10-14,159.9,159.75,157.41,157.61
2022-10-15,157.61,160.71,158.26,160.1
2022-10-16,160.1,165.02,160.78,164.81
2022-10-17,164.81,163.62,158.01,159.03
2022-10-18,159.03,159.09,153.0,153.61
2022-10-19,153.61,153.88,147.67,147.67
2022-10-20,147.67,147.75,142.67,146.25
2022-10-21,146.28,148.11,144.55,145.99
2022-10-22,145.99,154.56,150.66,152.08
2022-10-23,151.97,153.76,149.16,149.57
2022-10-24,149.57,169.86,154.29,162.98
2022-10-25,162.98,172.17,165.96,167.29
2022-10-26,167.29,167.42,162.02,162.35
2022-10-27,162.35,172.22,164.12,170.58
2022-10-28,170.15,180.0,173.47,174.32
2022-10-29,174.48,177.27,171.64,176.28
2022-10-30,176.28,177.33,168.99,170.49
2022-10-31,170.49,171.61,167.25,167.25
2022-11-01,167.25,165.56,157.08,159.8
2022-11-02,159.8,164.7,158.34,159.28
2022-11-03,159.28,172.92,163.57,171.31
2022-11-04,171.74,195.14,169.82,187.44
2022-11-05,187.44,182.37,164.59,166.75
2022-11-06,166.75,169.9,148.36,153.32
2022-11-07,153.32,148.1,112.43,126.78
2022-11-08,126.78,106.11,63.69,73.77
2022-11-09,73.77,102.41,77.31,94.74
2022-11-10,94.74,97.27,84.23,87.23
2022-11-11,87.23,84.51,76.44,76.64
2022-11-12,76.64,74.45,68.27,68.78
2022-11-13,68.78,81.93,67.6,74.04
2022-11-14,74.04,78.61,73.25,75.63
2022-11-15,75.63,76.94,73.11,76.29
2022-11-16,76.29,77.05,70.27,73.31
2022-11-17,73.31,74.73,70.49,71.41
2022-11-18,71.41,71.96,68.48,69.27
2022-11-19,69.27,69.06,64.54,66.52
2022-11-20,66.52,63.81,61.32,63.34
2022-11-21,63.34,67.28,61.95,66.97
2022-11-22,66.97,78.09,69.55,77.2
2022-11-23,77.2,79.98,75.13,78.3
2022-11-24,78.33,78.48,75.61,75.78
2022-11-25,75.71,79.26,75.69,76.27
2022-11-26,76.27,76.22,74.75,75.97
2022-11-27,75.97,74.36,69.2,71.66
2022-11-28,71.78,73.83,70.47,71.08
2022-11-29,71.08,74.51,71.64,73.79
2022-11-30,74.2,72.91,70.11,70.51
2022-12-01,70.51,72.59,70.97,71.51
2022-12-02,71.51,69.93,68.44,69.8
2022-12-03,69.59,71.65,70.17,71.48
2022-12-04,71.71,73.71,71.05,72.91
2022-12-05,72.91,76.04,73.23,75.23
2022-12-06,75.17,74.06,70.74,70.77
2022-12-07,70.77,72.68,71.39,72.14
2022-12-08,71.59,72.56,70.7,71.43
2022-12-09,70.95,71.69,70.6,71.11
2022-12-10,71.1,71.52,70.2,70.33
2022-12-11,70.39,71.57,68.88,69.93
2022-12-12,69.93,73.5,69.69,72.8
2022-12-13,72.76,76.35,71.96,74.16
2022-12-14,74.16,75.32,72.1,74.52
2022-12-15,74.52,69.75,64.28,65.21
2022-12-16,65.21,66.57,64.49,66.26
2022-12-17,66.26,66.24,65.37,65.68
2022-12-18,65.68,65.6,62.68,63.49
2022-12-19,63.5,65.47,63.99,64.34
2022-12-20,64.36,64.32,62.73,63.62
2022-12-21,63.62,63.65,61.07,61.68
2022-12-22,61.71,62.35,60.71,61.02
2022-12-23,61.08,61.21,58.01,59.33
2022-12-24,59.33,59.82,58.75,58.95
2022-12-25,58.95,60.2,58.58,59.17
2022-12-26,59.17,59.54,56.96,58.82
2022-12-27,58.82,57.83,50.17,51.73
2022-12-28,51.73,56.71,42.94,51.4
2022-12-29,51.4,54.42,48.61,52.81
2022-12-30,52.81,53.82,51.5,52.99
2022-12-31,52.99,53.68,51.74,53.0
2023-01-01,53.0,63.74,53.11,60.0
2023-01-02,60.0,75.17,59.7,72.54
2023-01-03,72.54,77.92,69.88,72.94
2023-01-04,72.94,74.49,69.98,72.2
2023-01-05,72.2,72.32,68.7,71.45
2023-01-06,71.45,71.35,69.07,69.34
2023-01-07,69.34,78.13,70.04,76.76
2023-01-08,76.76,91.12,77.45,86.03
2023-01-09,86.03,87.54,82.91,85.01
2023-01-10,85.01,88.7,83.56,85.3
2023-01-11,85.3,88.21,81.99,85.87
2023-01-12,85.87,95.74,86.57,93.95
2023-01-13,93.95,127.11,99.03,124.17
2023-01-14,124.17,128.91,115.43,117.74
2023-01-15,117.74,129.74,118.81,121.91
2023-01-16,121.92,123.04,117.16,117.81
2023-01-17,117.94,116.11,106.28,108.64
2023-01-18,108.08,114.72,108.43,111.54
2023-01-19,111.54,134.51,117.98,132.98
2023-01-20,133.14,134.23,124.56,128.12
2023-01-21,128.12,132.97,124.38,126.42
2023-01-22,126.56,130.89,125.51,126.83
2023-01-23,127.1,124.01,116.76,117.97
2023-01-24,117.97,129.54,120.05,125.42
2023-01-25,125.42,127.4,122.74,124.13
2023-01-26,124.3,126.37,121.04,125.54
2023-01-27,125.56,127.07,122.54,123.43
2023-01-28,123.43,138.3,122.36,133.49
2023-01-29,133.59,129.9,120.04,123.09
2023-01-30,123.14,124.86,121.46,122.27
2023-01-31,122.27,127.84,119.91,127.17
2023-02-01,127.07,129.09,122.77,123.37
2023-02-02,123.37,127.68,123.58,126.96
2023-02-03,126.96,127.5,125.22,125.7
